127.0.0.1 - - [14/May/2019:19:45:51 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [14/May/2019:19:45:55 +0800] "GET /searchengine/home HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [14/May/2019:19:45:55 +0800] "GET /searchengine/js/search.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2019:19:45:55 +0800] "GET /searchengine/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2019:19:45:55 +0800] "GET /searchengine/img/booklogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2019:19:45:55 +0800] "GET /searchengine/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2019:19:45:55 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [14/May/2019:19:46:27 +0800] "GET /searchengine/mana HTTP/1.1" 200 5246
0:0:0:0:0:0:0:1 - - [14/May/2019:19:46:27 +0800] "GET /searchengine/css/searching.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2019:21:22:12 +0800] "POST /searchengine/searching HTTP/1.1" 200 6626
0:0:0:0:0:0:0:1 - - [14/May/2019:21:22:12 +0800] "GET /searchengine/img/book.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2019:21:22:22 +0800] "POST /searchengine/swithtype HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/May/2019:21:22:22 +0800] "POST /searchengine/swithtype HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/May/2019:21:22:27 +0800] "POST /searchengine/searching HTTP/1.1" 200 7811
0:0:0:0:0:0:0:1 - - [14/May/2019:21:22:27 +0800] "GET /searchengine/js/search.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2019:21:22:27 +0800] "GET /searchengine/img/book.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2019:21:22:27 +0800] "GET /searchengine/css/searching.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2019:21:22:27 +0800] "GET /searchengine/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2019:21:26:46 +0800] "POST /searchengine/swithtype HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/May/2019:21:26:54 +0800] "POST /searchengine/searching HTTP/1.1" 200 6626
0:0:0:0:0:0:0:1 - - [14/May/2019:21:26:54 +0800] "GET /searchengine/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2019:21:26:54 +0800] "GET /searchengine/js/search.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2019:21:26:54 +0800] "GET /searchengine/css/searching.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2019:21:26:54 +0800] "GET /searchengine/img/book.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2019:21:27:02 +0800] "GET /searchengine/img/load2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2019:21:27:04 +0800] "POST /searchengine/nextpage HTTP/1.1" 200 4309
0:0:0:0:0:0:0:1 - - [14/May/2019:21:27:32 +0800] "POST /searchengine/searching HTTP/1.1" 200 6626
